_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
1094,CA1502315,CAMP OWEN WATER SYSTEM,KERN,C,Community,C   ,Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,225,,,225,,0,23,0,0,23,SC   ,Small Community,6/28/2017,KERNVILLE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1095,CA0202548,CAMP PEACEFUL PINES,ALPINE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,13,,,,13,N1   ,Transient-Noncommunity Water System,8/1/2017,DARDANELLE,,#N/A,NR   ,Not Required
1096,CA3710700,CAMP PENDLETON (NORTH),SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,5200,6400,4000,15600,,,,,944,944,SC   ,Small Community,8/17/2015,CAMP PENDLETON,T1   ,Treatment Operator Level 1,D4   ,Distribution Operator Level 4
1097,CA3710702,CAMP PENDLETON (SOUTH),SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,10616,24384,4400,39400,,,49,,3581,3630,C1   ,Large Water System,3/14/2017,CAMP PENDLETON,T3   ,Treatment Operator Level 3,D4   ,Distribution Operator Level 4
1098,CA0300006,CAMP RITCHIE,AMADOR,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/2/2016,PIONEER,,#N/A,NR   ,Not Required
1099,CA2710705,CAMP ROBERTS - CALIFORNIA NATIONAL GUARD,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,385,,385,,342,,,,342,SP   ,NonTransient-NonCommunity Water System,4/13/2016,SAN MIGUEL,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
1100,CA3301100,CAMP RONALD MCDONALD FOR G.T.,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,180,180,,32,,,,32,N1   ,Transient-Noncommunity Water System,4/22/2015,MOUNTAIN CENTER,,#N/A,NR   ,Not Required
1101,CA2900520,CAMP ROSS RELLES,NEVADA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,15,,,,15,N1   ,Transient-Noncommunity Water System,7/21/2017,NEVADA CITY,,#N/A,NR   ,Not Required
1102,CA3600777,CAMP ROUND MEADOW,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,140,140,,1,,,,1,N1   ,Transient-Noncommunity Water System,7/27/2016,BARTON FLATS,,#N/A,,#N/A
1103,CA4901105,CAMP ROYANEH,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,70,70,,16,,,,16,N1   ,Transient-Noncommunity Water System,8/27/1996,CAZADERO,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
1104,CA2900516,CAMP RUCKER LAKE,NEVADA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,150,150,,8,,,,8,N1   ,Transient-Noncommunity Water System,6/20/2017,NEVADA CITY,,#N/A,NR   ,Not Required
1105,CA0900516,CAMP SACRAMENTO,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,SW ,Surface Water,,,250,250,,20,,,,20,N1   ,Transient-Noncommunity Water System,6/29/2017,TWIN BRIDGES,T2   ,Treatment Operator Level 2,NR   ,Not Required
1106,CA4300834,CAMP SARATOGA,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,450,,,450,,15,,,,15,SC   ,Small Community,7/24/2013,SAN FRANCISCO,T1   ,Treatment Operator Level 1,,#N/A
1107,CA5601135,CAMP SCHEIDECK,VENTURA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,30,,30,,37,,,,37,SP   ,NonTransient-NonCommunity Water System,8/12/2013,SANTA PAULA,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
1108,CA1900011,CAMP SCOTT AND SCUDDER,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,275,,275,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,12/14/2017,,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1109,CA1900888,CAMP SHALOM/JCA,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,320,320,,10,,,,10,N1   ,Transient-Noncommunity Water System,3/23/2017,,,#N/A,D1   ,Distribution Operator Level 1
1110,CA4500120,CAMP SHASTA COFFEE COMPANY,SHASTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,35,35,,1,,,,1,,#N/A,8/25/2017,LAKEHEAD,,#N/A,NR   ,Not Required
1111,CA0900505,CAMP SHELLY,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,200,200,,15,,,,15,N1   ,Transient-Noncommunity Water System,9/1/2016,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
1112,CA1000010,CAMP SIERRA,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,250,250,,,21,,71,92,N1   ,Transient-Noncommunity Water System,9/22/2017,BIG CREEK,T2   ,Treatment Operator Level 2,NR   ,Not Required
1113,CA3600532,CAMP SKY MEADOWS,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/22/2018,ANGELUS OAKS,,#N/A,,#N/A
1114,CA4400710,CAMP ST FRANCIS,SANTA CRUZ,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,1,,,,1,,#N/A,5/9/2013,APTOS,,#N/A,NR   ,Not Required
1115,CA1502249,CAMP ST NICHOLAS WATER SYSTEM,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,2,10,125,137,,,8,0,0,8,N1   ,Transient-Noncommunity Water System,8/12/2014,FRAZIER PARK,,#N/A,NR   ,Not Required
1116,CA3700906,CAMP STEVENS,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,17,,,,17,N1   ,Transient-Noncommunity Water System,8/22/2014,JULIAN,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1117,CA3600767,CAMP TAHQUITZ,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/22/2018,BARTON FLATS,,#N/A,,#N/A
1118,CA2100568,CAMP TAMARANCHO,MARIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,3,,,,3,N1   ,Transient-Noncommunity Water System,7/7/2011,FAIRFAX,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
1119,CA5500141,CAMP TAWONGA,TUOLUMNE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,405,405,,21,,,,21,N1   ,Transient-Noncommunity Water System,9/1/2017,GROVELAND,,#N/A,NR   ,Not Required
1120,CA1502044,CAMP TECUYA WATER SYSTEM,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,180,180,,,2,,1,3,N1   ,Transient-Noncommunity Water System,6/4/2014,FRAZIER PARK,,#N/A,NR   ,Not Required
1121,CA3200097,CAMP TIMBERWOLF,PLUMAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,90,90,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/2/2015,BUCKS LAKE,,#N/A,NR   ,Not Required
1122,CA5500368,CAMP TUOLUMNE TRAILS,TUOLUMNE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,80,80,,16,,,,16,N1   ,Transient-Noncommunity Water System,8/9/2017,GROVELAND.,,#N/A,NR   ,Not Required
1123,CA1900594,CAMP VERDUGO OAKS BOYSCOUTS,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,48,48,,4,,,,4,N1   ,Transient-Noncommunity Water System,4/19/2018,CASTAIC,,#N/A,D1   ,Distribution Operator Level 1
1124,CA2600581,CAMP VOORHIS-VIKING,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,5,,,,5,,#N/A,7/24/2015,MAMMOTH LAKES,,#N/A,NR   ,Not Required
1125,CA4600006,"CAMP WASIU II, SIERRA/NV INC.",SIERRA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,160,160,,1,,,,1,N1   ,Transient-Noncommunity Water System,8/19/2015,SIERRA CITY,,#N/A,NR   ,Not Required
1126,CA3600064,CAMP WATERMAN MWC,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,55,,,55,,30,,,,30,SC   ,Small Community,1/18/2017,SAN BERNARDINO,,#N/A,,#N/A
1127,CA2203051,CAMP WAWONA,MARIPOSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,220,220,,35,,,,35,N1   ,Transient-Noncommunity Water System,10/24/2013,WAWONA,,#N/A,NR   ,Not Required
1128,CA5401049,CAMP WILDERNESS,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,40,40,,3,,,,3,N1   ,Transient-Noncommunity Water System,8/15/2017,SEQ NAT'L FOREST,,#N/A,NR   ,Not Required
1129,CA1900529,CAMP WILLIAMS-RESORT WATER,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,80,,,80,,67,,,,67,SC   ,Small Community,1/18/2017,AZUSA,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1130,CA3702319,CAMP WINACKA,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,250,250,,12,,,,12,N1   ,Transient-Noncommunity Water System,6/5/2013,JULIAN,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1131,CA3104449,CAMP WINTHERS,PLACER,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,SW ,Surface Water,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,8/9/2017,SODA SPRINGS,T2   ,Treatment Operator Level 2,NR   ,Not Required
1132,CA0300022,CAMP WINTON,AMADOR,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,19,,,,19,,#N/A,6/14/2018,PIONEER,,#N/A,NR   ,Not Required
1133,CA0500055,CAMP WOLFEBORO,CALAVERAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,250,250,,8,,,,8,N1   ,Transient-Noncommunity Water System,6/27/2017,ARNOLD,,#N/A,NR   ,Not Required
1134,CA4800709,CAMPBELL RANCH,SOLANO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,10,150,160,,3,,,,3,N1   ,Transient-Noncommunity Water System,1/14/2015,DIXON,,#N/A,NR   ,Not Required
1135,CA4800727,CAMPBELL SOUP DIXON,SOLANO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,30,195,225,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,1/24/2017,DIXON,,#N/A,D1   ,Distribution Operator Level 1
1136,CA5700554,CAMPERS INN - RV & GOLF COURSE,YOLO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,120,,,120,,68,,,,68,SC   ,Small Community,12/13/2016,DUNNIGAN,TD   ,Treatment or distribution operator of any grade,,#N/A
1137,CA2701046,CAMPHORA APARTMENTS,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,126,,,126,,42,,,,42,SC   ,Small Community,9/16/2016,SOLEDAD,,#N/A,D1   ,Distribution Operator Level 1
1138,CA2701579,CAMPHORA STATION WS,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,8/1/2017,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
1139,CA2702642,CAMPHORA-GLORIA RD WS #01,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,7/22/2014,SOLEDAD,,#N/A,NR   ,Not Required
1140,CA3700018,CAMPO ELEMENTARY SCHOOL,SAN DIEGO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,300,,300,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,5/16/2014,CAMPO,,#N/A,D1   ,Distribution Operator Level 1
1141,CA3705060,CAMPO GROUP LLC,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,3,,,,3,N1   ,Transient-Noncommunity Water System,11/8/2013,CAMPO,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1142,CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,L,Local,GU ,Groundwater UDI Surface Water,500,,,500,,,1,,215,216,SC   ,Small Community,11/19/2013,CAMPO,T3   ,Treatment Operator Level 3,D1   ,Distribution Operator Level 1
1143,CA4901063,CAMPOBELLO,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/13/2004,SANTA ROSA,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
1144,CA1000580,CAMPOS BROS. FARMS,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,150,,150,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,2/10/2015,CARUTHERS,,#N/A,D1   ,Distribution Operator Level 1
1145,CA3303058,CAMPOS WONG,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,20,,20,,7,,,,7,XS   ,State Small Water System,,THERMAL,,#N/A,,#N/A
1146,CA1900089,CAMPS MUNZ AND MENDENHALL,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,125,,125,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,3/27/2018,,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1147,CA5800924,CAMPTONVILLE COMMUNITY SERV DIST,YUBA,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,180,,,180,,85,,,,85,SC   ,Small Community,6/7/2018,CAMPTONVILLE,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1148,CA5610063,CAMROSA WATER DISTRICT,VENTURA,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,30000,,,30000,,8555,,,,8555,C1   ,Large Water System,11/17/2016,CAMARILLO,T3   ,Treatment Operator Level 3,D4   ,Distribution Operator Level 4
1149,CA2702588,CANADA WOODS WC,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GU ,Groundwater UDI Surface Water,432,,,432,,154,,,,154,SC   ,Small Community,4/3/2018,CARMEL,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
1150,CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,EL DORADO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,35,,,35,,20,,,,20,,#N/A,5/29/2015,SOMERSET,,#N/A,NR   ,Not Required
1151,CA3702135,CANEBRAKE COUNTY WATER DISTRICT,SAN DIEGO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,12,12,,8,,,,8,XS   ,State Small Water System,,,,#N/A,NR   ,Not Required
1152,CA3400418,CANNERY LANDING,SACRAMENTO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,60,60,,41,,,,41,N1   ,Transient-Noncommunity Water System,8/7/2015,SACRAMENTO,,#N/A,,#N/A
1153,CA2800632,CANNON PARK WATER CO.,NAPA,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,16,,,16,,8,,,,8,XS   ,State Small Water System,6/28/2016,SAINT HELENA,,#N/A,NR   ,Not Required
1154,CA4910022,CANON MANOR WATER SYSTEM,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,756,,,756,,229,,,,229,SC   ,Small Community,9/7/2017,PENNGROVE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1155,CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",FRESNO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,50,,,50,,,,,15,15,SC   ,Small Community,3/30/2016,CANTUA CREEK,,#N/A,D1   ,Distribution Operator Level 1
1156,CA5700608,CANYON CREEK RESORT,YOLO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,200,200,,90,,,,90,N1   ,Transient-Noncommunity Water System,3/6/2008,WINTERS,T3   ,Treatment Operator Level 3,,#N/A
1157,CA1900162,CANYON CREEK SPORTS COMPLEX,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,177,177,,11,,,,11,N1   ,Transient-Noncommunity Water System,2/1/2018,,,#N/A,D1   ,Distribution Operator Level 1
1158,CA4000230,CANYON CREST MUTUAL BENEFIT WC,SAN LUIS OBISPO,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,125,,,125,,54,,,,54,SC   ,Small Community,5/28/2015,ARROYO GRANDE,,#N/A,D1   ,Distribution Operator Level 1
1159,CA3200088,CANYON DAM MOBILE HOME ESTATES,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,14,14,,8,,,,8,DD   ,Dead and Done (not active),,CANYON DAM,,#N/A,,#N/A
1160,CA3200129,CANYON DAM RV & STORE,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,35,35,,22,,,,22,N1   ,Transient-Noncommunity Water System,12/13/1991,CANYON DAM,,#N/A,,#N/A
1161,CA4500186,CANYON ELEMENTARY SCHOOL,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,150,,150,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,3/15/2018,LAKEHEAD,,#N/A,D1   ,Distribution Operator Level 1
1162,CA1000600,CANYON FEED & SUPPLY,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,76,76,,5,,,,5,N1   ,Transient-Noncommunity Water System,3/5/2015,PRATHER,,#N/A,NR   ,Not Required
1163,CA1500443,CANYON MEADOWS MUTUAL WATER,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,394,,,394,,0,,,141,141,SC   ,Small Community,4/12/2018,BODFISH,,#N/A,D1   ,Distribution Operator Level 1
1164,CA3000759,CANYON RV PARK,ORANGE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,363,194,557,,,,,2,2,SP   ,NonTransient-NonCommunity Water System,8/8/2017,ANAHEIM,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
1165,CA0707620,CANYON SCHOOL,CONTRA COSTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,200,,200,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,2/23/2016,CANYON,,#N/A,,#N/A
1166,CA1100527,CAPAY JOINT UNION ELEM. SCHOOL,GLENN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,230,,230,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,9/27/2016,ORLAND,,#N/A,D1   ,Distribution Operator Level 1
1167,CA5700737,CAPAY OPEN SPACE PARK,YOLO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,,#N/A,4/9/2014,,,#N/A,NR   ,Not Required
1168,CA2800543,CAPELL VALLEY ESTATES,NAPA,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,250,,,250,,90,,,,90,,#N/A,5/9/2017,NAPA,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1169,CA4901257,CAPITAL LUMBER COMPANY,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,10/4/2017,HEALDSBURG,,#N/A,D1   ,Distribution Operator Level 1
1170,CA3103209,CAPITAL MOUNTAIN CHRISTIAN CAMP,PLACER,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,1,,,,1,N1   ,Transient-Noncommunity Water System,1/21/2016,WEIMAR,,#N/A,NR   ,Not Required
1171,CA0202506,CAPLES LAKE RESORT,ALPINE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,10,,,,10,N1   ,Transient-Noncommunity Water System,8/29/2017,KIRKWOOD,,#N/A,NR   ,Not Required
1172,CA0901219,CAPPS CROSSING CAMPGROUND,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,25,25,,11,,,,11,,#N/A,6/3/2015,GRIZZLY FLAT,,#N/A,NR   ,Not Required
1173,CA2702322,CAPTAIN COOPER SCHOOL WS,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GU ,Groundwater UDI Surface Water,,95,,95,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,11/10/2016,BIG SUR,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1174,CA2702296,CAPURRO & SON  WS,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,65,,65,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,10/27/2017,MOSS LANDING,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1175,CA3901328,CARBONA FOOD & LIQUOR WATER SYSTEM,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,,#N/A,8/15/2014,TRACY,,#N/A,,#N/A
1176,CA1400067,CARDINAL VILLAGE RESORT,INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,55,55,,14,,,,14,N1   ,Transient-Noncommunity Water System,6/8/2010,BISHOP,,#N/A,NR   ,Not Required
1177,CA2801028,CARDINALE ESTATE,NAPA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,100,,100,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,3/29/2018,OAKVILLE,,#N/A,D1   ,Distribution Operator Level 1
1178,CA3900921,CARDOZA VILLA CORP,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,30,,,30,,16,,,,16,SC   ,Small Community,3/23/2015,MANTECA,,#N/A,D1   ,Distribution Operator Level 1
1179,CA5000388,CARDOZA WATER SYSTEM,STANISLAUS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,15,15,,10,,,,10,N1   ,Transient-Noncommunity Water System,10/11/2011,MODESTO,,#N/A,NR   ,Not Required
1180,CA1000461,CARGILL MEAT SOLUTIONS CORPORATION,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,1100,,1100,,,,4,,4,SP   ,NonTransient-NonCommunity Water System,3/16/2018,FRESNO,,#N/A,D1   ,Distribution Operator Level 1
1181,CA3200153,CARIBOU CROSSROADS,PLUMAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,30,30,,24,,,,24,N1   ,Transient-Noncommunity Water System,8/20/2013,BELDEN,,#N/A,NR   ,Not Required
1182,CA3900568,CARIBOU MOBILE PARK PWS,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,180,,,180,,72,,,,72,SC   ,Small Community,2/2/2015,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
1183,CA3302097,CARLOS CORDERO,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,10,,10,,7,,,,7,XS   ,State Small Water System,,THERMAL,,#N/A,,#N/A
1184,CA3710005,CARLSBAD MWD,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,86596,,,86596,,27810,,,,27810,C1   ,Large Water System,4/10/2017,CARLSBAD,T2   ,Treatment Operator Level 2,D5   ,Distribution Operator Level 5
1185,CA2701297,CARMEL BY THE RIVER RV PARK WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,140,140,,1,,,,1,,#N/A,7/29/2016,CARMEL,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
